match_date,home_team,away_team,league_name,season_info,bookmaker,odd_type,odd_value,match_url
2020-07-06T17:00:00Z,Varberg,Kalmar,Allsvenskan,2020-2021,Pinnacle,Over +2.5,2.09,https://www.oddsportal.com/football/sweden/allsvenskan-2020/varberg-kalmar-MHDQndyI/
2020-07-06T17:00:00Z,Varberg,Kalmar,Allsvenskan,2020-2021,Pinnacle,Under +2.5,1.80,https://www.oddsportal.com/football/sweden/allsvenskan-2020/varberg-kalmar-MHDQndyI/
2020-07-06T17:00:00Z,Varberg,Kalmar,Allsvenskan,2020-2021,1xBet,Over +3,2.88,https://www.oddsportal.com/football/sweden/allsvenskan-2020/varberg-kalmar-MHDQndyI/
2020-07-06T17:00:00Z,Varberg,Kalmar,Allsvenskan,2020-2021,1xBet,Under +3,1.42,https://www.oddsportal.com/football/sweden/allsvenskan-2020/varberg-kalmar-MHDQndyI/
2020-07-06T17:00:00Z,Varberg,Kalmar,Allsvenskan,2020-2021,1xBet,Over +3.5,3.50,https://www.oddsportal.com/football/sweden/allsvenskan-2020/varberg-kalmar-MHDQndyI/
2020-07-06T17:00:00Z,Varberg,Kalmar,Allsvenskan,2020-2021,1xBet,Under +3.5,1.29,https://www.oddsportal.com/football/sweden/allsvenskan-2020/varberg-kalmar-MHDQndyI/
2020-07-06T17:00:00Z,Varberg,Kalmar,Allsvenskan,2020-2021,888sport,Over +3.5,3.65,https://www.oddsportal.com/football/sweden/allsvenskan-2020/varberg-kalmar-MHDQndyI/
2020-07-06T17:00:00Z,Varberg,Kalmar,Allsvenskan,2020-2021,888sport,Under +3.5,1.28,https://www.oddsportal.com/football/sweden/allsvenskan-2020/varberg-kalmar-MHDQndyI/
2020-07-06T17:00:00Z,Varberg,Kalmar,Allsvenskan,2020-2021,bwin,Over +3.5,3.10,https://www.oddsportal.com/football/sweden/allsvenskan-2020/varberg-kalmar-MHDQndyI/
2020-07-06T17:00:00Z,Varberg,Kalmar,Allsvenskan,2020-2021,bwin,Under +3.5,1.33,https://www.oddsportal.com/football/sweden/allsvenskan-2020/varberg-kalmar-MHDQndyI/
2020-07-06T17:00:00Z,Varberg,Kalmar,Allsvenskan,2020-2021,Pinnacle,Over +3.5,3.77,https://www.oddsportal.com/football/sweden/allsvenskan-2020/varberg-kalmar-MHDQndyI/
2020-07-06T17:00:00Z,Varberg,Kalmar,Allsvenskan,2020-2021,Pinnacle,Under +3.5,1.29,https://www.oddsportal.com/football/sweden/allsvenskan-2020/varberg-kalmar-MHDQndyI/
2020-07-05T15:30:00Z,Hacken,Hammarby,Allsvenskan,2020-2021,1xBet,Over +2.5,1.86,https://www.oddsportal.com/football/sweden/allsvenskan-2020/hacken-hammarby-Q9biLeti/
2020-07-05T15:30:00Z,Hacken,Hammarby,Allsvenskan,2020-2021,1xBet,Under +2.5,2.05,https://www.oddsportal.com/football/sweden/allsvenskan-2020/hacken-hammarby-Q9biLeti/
2020-07-05T15:30:00Z,Hacken,Hammarby,Allsvenskan,2020-2021,888sport,Over +2.5,1.84,https://www.oddsportal.com/football/sweden/allsvenskan-2020/hacken-hammarby-Q9biLeti/
2020-07-05T15:30:00Z,Hacken,Hammarby,Allsvenskan,2020-2021,888sport,Under +2.5,1.97,https://www.oddsportal.com/football/sweden/allsvenskan-2020/hacken-hammarby-Q9biLeti/
2020-07-05T15:30:00Z,Hacken,Hammarby,Allsvenskan,2020-2021,bwin,Over +2.5,1.75,https://www.oddsportal.com/football/sweden/allsvenskan-2020/hacken-hammarby-Q9biLeti/
2020-07-05T15:30:00Z,Hacken,Hammarby,Allsvenskan,2020-2021,bwin,Under +2.5,1.95,https://www.oddsportal.com/football/sweden/allsvenskan-2020/hacken-hammarby-Q9biLeti/
2020-07-05T15:30:00Z,Hacken,Hammarby,Allsvenskan,2020-2021,Pinnacle,Over +2.5,1.84,https://www.oddsportal.com/football/sweden/allsvenskan-2020/hacken-hammarby-Q9biLeti/
2020-07-05T15:30:00Z,Hacken,Hammarby,Allsvenskan,2020-2021,Pinnacle,Under +2.5,2.04,https://www.oddsportal.com/football/sweden/allsvenskan-2020/hacken-hammarby-Q9biLeti/
2020-07-05T15:30:00Z,Hacken,Hammarby,Allsvenskan,2020-2021,1xBet,Over +3,2.36,https://www.oddsportal.com/football/sweden/allsvenskan-2020/hacken-hammarby-Q9biLeti/
2020-07-05T15:30:00Z,Hacken,Hammarby,Allsvenskan,2020-2021,1xBet,Under +3,1.62,https://www.oddsportal.com/football/sweden/allsvenskan-2020/hacken-hammarby-Q9biLeti/
2020-07-05T15:30:00Z,Hacken,Hammarby,Allsvenskan,2020-2021,Pinnacle,Over +3,2.46,https://www.oddsportal.com/football/sweden/allsvenskan-2020/hacken-hammarby-Q9biLeti/
2020-07-05T15:30:00Z,Hacken,Hammarby,Allsvenskan,2020-2021,Pinnacle,Under +3,1.59,https://www.oddsportal.com/football/sweden/allsvenskan-2020/hacken-hammarby-Q9biLeti/
2020-07-05T15:30:00Z,Hacken,Hammarby,Allsvenskan,2020-2021,1xBet,Over +3.5,3.01,https://www.oddsportal.com/football/sweden/allsvenskan-2020/hacken-hammarby-Q9biLeti/
2020-07-05T15:30:00Z,Hacken,Hammarby,Allsvenskan,2020-2021,1xBet,Under +3.5,1.41,https://www.oddsportal.com/football/sweden/allsvenskan-2020/hacken-hammarby-Q9biLeti/
2020-07-05T15:30:00Z,Hacken,Hammarby,Allsvenskan,2020-2021,888sport,Over +3.5,3.10,https://www.oddsportal.com/football/sweden/allsvenskan-2020/hacken-hammarby-Q9biLeti/
2020-07-05T15:30:00Z,Hacken,Hammarby,Allsvenskan,2020-2021,888sport,Under +3.5,1.36,https://www.oddsportal.com/football/sweden/allsvenskan-2020/hacken-hammarby-Q9biLeti/
2020-07-05T15:30:00Z,Hacken,Hammarby,Allsvenskan,2020-2021,bwin,Over +3.5,2.75,https://www.oddsportal.com/football/sweden/allsvenskan-2020/hacken-hammarby-Q9biLeti/
2020-07-05T15:30:00Z,Hacken,Hammarby,Allsvenskan,2020-2021,bwin,Under +3.5,1.40,https://www.oddsportal.com/football/sweden/allsvenskan-2020/hacken-hammarby-Q9biLeti/
2020-07-05T15:30:00Z,Hacken,Hammarby,Allsvenskan,2020-2021,Pinnacle,Over +3.5,3.13,https://www.oddsportal.com/football/sweden/allsvenskan-2020/hacken-hammarby-Q9biLeti/
