match_date,home_team,away_team,league_name,season_info,bookmaker,odd_type,odd_value,match_url
2020-11-22T15:45:00Z,Waalwijk,Heerenveen,Eredivisie,2020-2021,Pinnacle,Over +3.5,2.40,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/waalwijk-heerenveen-pKlI7L1A/
2020-11-22T15:45:00Z,Waalwijk,Heerenveen,Eredivisie,2020-2021,Pinnacle,Under +3.5,1.62,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/waalwijk-heerenveen-pKlI7L1A/
2020-11-22T13:30:00Z,Sittard,Feyenoord,Eredivisie,2020-2021,1xBet,Over +2.5,1.43,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/sittard-feyenoord-xfoA9sXc/
2020-11-22T13:30:00Z,Sittard,Feyenoord,Eredivisie,2020-2021,1xBet,Under +2.5,2.74,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/sittard-feyenoord-xfoA9sXc/
2020-11-22T13:30:00Z,Sittard,Feyenoord,Eredivisie,2020-2021,22Bet,Over +2.5,1.43,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/sittard-feyenoord-xfoA9sXc/
2020-11-22T13:30:00Z,Sittard,Feyenoord,Eredivisie,2020-2021,22Bet,Under +2.5,2.74,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/sittard-feyenoord-xfoA9sXc/
2020-11-22T13:30:00Z,Sittard,Feyenoord,Eredivisie,2020-2021,888sport,Over +2.5,1.44,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/sittard-feyenoord-xfoA9sXc/
2020-11-22T13:30:00Z,Sittard,Feyenoord,Eredivisie,2020-2021,888sport,Under +2.5,2.80,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/sittard-feyenoord-xfoA9sXc/
2020-11-22T13:30:00Z,Sittard,Feyenoord,Eredivisie,2020-2021,bwin,Over +2.5,1.42,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/sittard-feyenoord-xfoA9sXc/
2020-11-22T13:30:00Z,Sittard,Feyenoord,Eredivisie,2020-2021,bwin,Under +2.5,2.65,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/sittard-feyenoord-xfoA9sXc/
2020-11-22T13:30:00Z,Sittard,Feyenoord,Eredivisie,2020-2021,Pinnacle,Over +2.5,1.39,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/sittard-feyenoord-xfoA9sXc/
2020-11-22T13:30:00Z,Sittard,Feyenoord,Eredivisie,2020-2021,Pinnacle,Under +2.5,3.12,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/sittard-feyenoord-xfoA9sXc/
2020-11-22T13:30:00Z,Sittard,Feyenoord,Eredivisie,2020-2021,1xBet,Over +3,1.66,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/sittard-feyenoord-xfoA9sXc/
2020-11-22T13:30:00Z,Sittard,Feyenoord,Eredivisie,2020-2021,1xBet,Under +3,2.22,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/sittard-feyenoord-xfoA9sXc/
2020-11-22T13:30:00Z,Sittard,Feyenoord,Eredivisie,2020-2021,22Bet,Over +3,1.66,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/sittard-feyenoord-xfoA9sXc/
2020-11-22T13:30:00Z,Sittard,Feyenoord,Eredivisie,2020-2021,22Bet,Under +3,2.22,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/sittard-feyenoord-xfoA9sXc/
2020-11-22T13:30:00Z,Sittard,Feyenoord,Eredivisie,2020-2021,Pinnacle,Over +3,1.59,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/sittard-feyenoord-xfoA9sXc/
2020-11-22T13:30:00Z,Sittard,Feyenoord,Eredivisie,2020-2021,Pinnacle,Under +3,2.47,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/sittard-feyenoord-xfoA9sXc/
2020-11-22T13:30:00Z,Sittard,Feyenoord,Eredivisie,2020-2021,1xBet,Over +3.5,2.15,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/sittard-feyenoord-xfoA9sXc/
2020-11-22T13:30:00Z,Sittard,Feyenoord,Eredivisie,2020-2021,1xBet,Under +3.5,1.78,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/sittard-feyenoord-xfoA9sXc/
2020-11-22T13:30:00Z,Sittard,Feyenoord,Eredivisie,2020-2021,22Bet,Over +3.5,2.15,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/sittard-feyenoord-xfoA9sXc/
2020-11-22T13:30:00Z,Sittard,Feyenoord,Eredivisie,2020-2021,22Bet,Under +3.5,1.78,https://www.oddsportal.com/football/netherlands/eredivisie-2020-2021/sittard-feyenoord-xfoA9sXc/
