match_date,home_team,away_team,league_name,season_info,bookmaker,odd_type,odd_value,match_url
2022-05-29T16:00:00Z,Den Haag,Excelsior,Eredivisie,2021-2022,10x10bet,Over +2.5,1.63,https://www.oddsportal.com/football/netherlands/eredivisie-2021-2022/den-haag-excelsior-xUgqKyBa/
2022-05-29T16:00:00Z,Den Haag,Excelsior,Eredivisie,2021-2022,10x10bet,Under +2.5,2.28,https://www.oddsportal.com/football/netherlands/eredivisie-2021-2022/den-haag-excelsior-xUgqKyBa/
2022-05-29T16:00:00Z,Den Haag,Excelsior,Eredivisie,2021-2022,1xBet,Over +2.5,1.69,https://www.oddsportal.com/football/netherlands/eredivisie-2021-2022/den-haag-excelsior-xUgqKyBa/
2022-05-29T16:00:00Z,Den Haag,Excelsior,Eredivisie,2021-2022,1xBet,Under +2.5,2.00,https://www.oddsportal.com/football/netherlands/eredivisie-2021-2022/den-haag-excelsior-xUgqKyBa/
2022-05-29T16:00:00Z,Den Haag,Excelsior,Eredivisie,2021-2022,22Bet,Over +2.5,1.69,https://www.oddsportal.com/football/netherlands/eredivisie-2021-2022/den-haag-excelsior-xUgqKyBa/
2022-05-29T16:00:00Z,Den Haag,Excelsior,Eredivisie,2021-2022,22Bet,Under +2.5,2.00,https://www.oddsportal.com/football/netherlands/eredivisie-2021-2022/den-haag-excelsior-xUgqKyBa/
2022-05-29T16:00:00Z,Den Haag,Excelsior,Eredivisie,2021-2022,888sport,Over +2.5,1.65,https://www.oddsportal.com/football/netherlands/eredivisie-2021-2022/den-haag-excelsior-xUgqKyBa/
2022-05-29T16:00:00Z,Den Haag,Excelsior,Eredivisie,2021-2022,888sport,Under +2.5,2.10,https://www.oddsportal.com/football/netherlands/eredivisie-2021-2022/den-haag-excelsior-xUgqKyBa/
2022-05-29T16:00:00Z,Den Haag,Excelsior,Eredivisie,2021-2022,bwin,Over +2.5,1.63,https://www.oddsportal.com/football/netherlands/eredivisie-2021-2022/den-haag-excelsior-xUgqKyBa/
2022-05-29T16:00:00Z,Den Haag,Excelsior,Eredivisie,2021-2022,bwin,Under +2.5,2.10,https://www.oddsportal.com/football/netherlands/eredivisie-2021-2022/den-haag-excelsior-xUgqKyBa/
2022-05-29T16:00:00Z,Den Haag,Excelsior,Eredivisie,2021-2022,Pinnacle,Over +2.5,1.68,https://www.oddsportal.com/football/netherlands/eredivisie-2021-2022/den-haag-excelsior-xUgqKyBa/
2022-05-29T16:00:00Z,Den Haag,Excelsior,Eredivisie,2021-2022,Pinnacle,Under +2.5,2.25,https://www.oddsportal.com/football/netherlands/eredivisie-2021-2022/den-haag-excelsior-xUgqKyBa/
2022-05-29T16:00:00Z,Den Haag,Excelsior,Eredivisie,2021-2022,VOBET,Over +2.5,1.59,https://www.oddsportal.com/football/netherlands/eredivisie-2021-2022/den-haag-excelsior-xUgqKyBa/
2022-05-29T16:00:00Z,Den Haag,Excelsior,Eredivisie,2021-2022,VOBET,Under +2.5,2.21,https://www.oddsportal.com/football/netherlands/eredivisie-2021-2022/den-haag-excelsior-xUgqKyBa/
2022-05-29T16:00:00Z,Den Haag,Excelsior,Eredivisie,2021-2022,10x10bet,Over +3,2.02,https://www.oddsportal.com/football/netherlands/eredivisie-2021-2022/den-haag-excelsior-xUgqKyBa/
2022-05-29T16:00:00Z,Den Haag,Excelsior,Eredivisie,2021-2022,10x10bet,Under +3,1.79,https://www.oddsportal.com/football/netherlands/eredivisie-2021-2022/den-haag-excelsior-xUgqKyBa/
2022-05-29T16:00:00Z,Den Haag,Excelsior,Eredivisie,2021-2022,1xBet,Over +3,2.26,https://www.oddsportal.com/football/netherlands/eredivisie-2021-2022/den-haag-excelsior-xUgqKyBa/
2022-05-29T16:00:00Z,Den Haag,Excelsior,Eredivisie,2021-2022,1xBet,Under +3,1.57,https://www.oddsportal.com/football/netherlands/eredivisie-2021-2022/den-haag-excelsior-xUgqKyBa/
2022-05-29T16:00:00Z,Den Haag,Excelsior,Eredivisie,2021-2022,22Bet,Over +3,2.26,https://www.oddsportal.com/football/netherlands/eredivisie-2021-2022/den-haag-excelsior-xUgqKyBa/
2022-05-29T16:00:00Z,Den Haag,Excelsior,Eredivisie,2021-2022,22Bet,Under +3,1.57,https://www.oddsportal.com/football/netherlands/eredivisie-2021-2022/den-haag-excelsior-xUgqKyBa/
